l    time_i    C(l)    Tau_i     Delta_n
1    0.0    7    0.72622    1
2    0.72622    8    0.23128    1
3    0.9575    7    0.40043    0.07123
4    1.35793    6    0.43723    0.20208
5    1.79516    7    0.3466    0.16183
6    2.14176    6    0.46121    0.12188
7    2.60297    5    0.28291    0.08497
8    2.88588    4    0.28968    0.09122
9    3.17556    5    0.457    0.12581
10    3.63256    4    0.2494    0.05912
11    3.88196    3    0.2921    0.06175
12    4.17406    2    0.17252    0.03969
13    4.34658    3    0.54575    0.11155
14    4.89233    4    0.41152    0.07486
15    5.30385    5    0.40047    0.06029
16    5.70432    6    0.18743    0.02881
17    5.89175    5    0.31183    0.04489
18    6.20358    6    0.18728    0.02587
19    6.39086    5    0.43303    0.05412
20    6.82389    6    0.36647    0.04414
21    7.19036    7    0.2284    0.0249
22    7.41876    8    0.31867    0.03491
23    7.73743    9    0.15191    0.01645
24    7.88934    10    0.18199    0.02255
25    8.07133    9    0.33538    0.03989
26    8.40671    10    0.19076    0.02171
27    8.59747    9    0.14148    0.01556
28    8.73895    10    0.11194    0.01211
29    8.85089    9    0.26985    0.02799
30    9.12074    10    0.11857    0.01215
31    9.23931    9    0.25698    0.02487
32    9.49629    8    1.93801    0.15872
33    11.4343    9    0.27713    0.02102
34    11.71143    10    0.24533    0.01607
35    11.95676    9    0.24824    0.01864
36    12.205    10    0.19156    0.01192
37    12.39656    9    0.21986    0.01567
38    12.61642    10    0.14393    0.00862
39    12.76035    9    0.25022    0.01701
40    13.01057    10    0.1464    0.00845
41    13.15697    9    0.22633    0.0147
42    13.3833    10    0.31801    0.01754
43    13.70131    9    0.17605    0.01088
44    13.87736    10    0.15671    0.00828
45    14.03407    9    0.31664    0.01873
46    14.35071    10    0.16541    0.00842
47    14.51612    9    0.2039    0.01152
48    14.72002    10    0.13923    0.00688
49    14.85925    9    0.16211    0.00887
50    15.02136    10    0.20981    0.01007
51    15.23117    9    0.32059    0.01681
52    15.55176    10    0.25493    0.01172
53    15.80669    9    0.13601    0.00684
54    15.9427    10    0.15039    0.0067
55    16.09309    9    0.15601    0.00765
56    16.2491    8    1.16182    0.04758
57    17.41092    7    0.40675    0.02079
58    17.81767    8    0.3064    0.01553
59    18.12407    9    0.36547    0.01762
60    18.48954    8    1.57876    0.05389
61    20.0683    9    0.1291    0.00565
62    20.1974    10    0.21469    0.00666
63    20.41209    9    0.29755    0.01196
64    20.70964    10    0.34304    0.0103
65    21.05268    9    0.30838    0.01188
66    21.36106    10    0.23464    0.00682
67    21.5957    9    0.36499    0.01352
68    21.96069    8    0.62257    0.01728
69    22.58326    7    0.6234    0.02394
70    23.20666    8    0.12507    0.00495
71    23.33173    9    0.36486    0.01336
72    23.69659    10    0.14706    0.00387
73    23.84365    9    0.18526    0.00629
74    24.02891    10    0.26966    0.00695
75    24.29857    9    0.29942    0.00988
76    24.59799    8    0.86992    0.02133
77    25.46791    9    0.36855    0.01233
78    25.83646    10    0.12585    0.00295
79    25.96231    9    0.1168    0.00364
80    26.07911    10    0.13158    0.00305
81    26.21069    9    0.14579    0.00448
82    26.35648    10    0.32434    0.00738
83    26.68082    9    0.21395    0.00642
84    26.89477    8    0.6284    0.01376
85    27.52317    9    0.36073    0.01114
86    27.8839    10    0.30558    0.00644
87    28.18948    9    0.34462    0.00979
88    28.5341    8    1.24977    0.02488
89    29.78387    7    0.38903    0.01109
90    30.1729    6    0.398    0.01221
91    30.5709    7    0.29436    0.00903
92    30.86526    6    0.31014    0.00921
93    31.1754    7    0.18448    0.00553
94    31.35988    8    0.28185    0.00817
95    31.64173    9    0.19258    0.00517
96    31.83431    10    0.17222    0.00321
97    32.00653    9    0.28414    0.00723
98    32.29067    8    0.59823    0.01084
99    32.8889    9    0.16812    0.00435
100    33.05702    10    0.2456    0.00434
101    33.30262    9    0.12075    0.00297
102    33.42337    10    0.35542    0.00615
103    33.77879    9    0.29863    0.00718
104    34.07742    10    0.12175    0.00208
105    34.19917    9    0.27698    0.00653
106    34.47615    8    0.76021    0.01259
107    35.23636    9    0.15176    0.00369
108    35.38812    10    0.19146    0.00308
109    35.57958    9    0.1751    0.00398
110    35.75468    10    0.28398    0.00451
111    36.03866    9    0.187    0.00418
112    36.22566    8    0.93542    0.01433
113    37.16108    9    0.17396    0.00402
114    37.33504    8    1.24471    0.01797
115    38.57975    7    0.75825    0.01665
116    39.338    6    0.68243    0.01581
117    40.02043    7    0.1205    0.00285
118    40.14093    8    0.38646    0.00869
119    40.52739    9    0.26026    0.00544
120    40.78765    10    0.24681    0.00339
121    41.03446    9    0.20591    0.00414
122    41.24037    10    0.18241    0.00248
123    41.42278    9    0.10776    0.00214
