i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	10664.0	[5238.38613]	0.41365		0.49325			[8.1944]	8.50819		8.20729
1	10659.0	[5262.75425]	0.39772		0.46614			[8.1944]	8.24277		7.86727
2	10371.0	[5012.70177]	0.41568		0.49336			[8.1944]	8.51556		8.20539
3	10656.0	[5217.16145]	0.40505		0.47442			[8.1944]	8.3631		8.00973
4	10979.0	[5316.57496]	0.40951		0.4807			[8.1944]	8.4066		8.06944
5	10551.0	[5174.23131]	0.40996		0.48591			[8.1944]	8.42068		8.09797
6	11195.0	[5485.55996]	0.40502		0.47501			[8.1944]	8.28578		7.91155
7	10597.0	[5113.95566]	0.42531		0.50768			[8.1944]	8.65832		8.39656
8	10834.0	[5299.01144]	0.40498		0.47426			[8.1944]	8.3546		7.99966
9	10774.0	[5298.80966]	0.40846		0.48328			[8.1944]	8.36036		8.02316
10	10583.0	[5189.99985]	0.40861		0.48286			[8.1944]	8.38362		8.05824
