l    time_i    C(l)    Tau_i     Delta_n
1    0.0    5    0.296219    1
2    0.296219    4    0.225447    1
3    0.521666    3    0.419549    0.192639
4    0.941215    2    0.437949    0.317547
5    1.379164    1    0.196331    0.124615
6    1.575495    0    0.422562    0.211486
7    1.998057    1    0.366621    0.155041
8    2.364678    0    0.410506    0.121488
9    2.775184    1    0.19406    0.056723
10    2.969244    0    0.27464    0.06091
11    3.243884    1    0.210861    0.050486
12    3.454745    0    0.488779    0.084204
13    3.943524    1    0.513884    0.092732
14    4.457408    0    0.277443    0.037609
15    4.734851    1    0.190246    0.028141
16    4.925097    0    0.276084    0.032884
17    5.201181    1    0.491079    0.061794
18    5.69226    0    0.310459    0.032185
19    6.002719    1    0.358181    0.037861
20    6.3609    0    0.466824    0.041925
21    6.827724    1    0.349214    0.03209
22    7.176938    0    0.266158    0.021174
23    7.443096    1    0.357397    0.029356
24    7.800493    0    0.29005    0.021174
25    8.090543    1    0.553766    0.040057
26    8.644309    0    0.461037    0.03023
27    9.105346    1    0.4955    0.031288
28    9.600846    0    0.235911    0.014129
29    9.836757    1    0.381025    0.02182
30    10.217782    0    0.268678    0.015139
31    10.48646    1    0.16691    0.009001
32    10.65337    0    0.27336    0.014569
33    10.92673    1    0.186049    0.009649
34    11.112779    0    0.25039    0.012672
35    11.363169    1    0.323721    0.015963
36    11.68689    0    0.288987    0.013863
37    11.975877    1    0.443772    0.0204
38    12.419649    2    2.612234    0.100154
39    15.031883    3    1.357883    0.081767
40    16.389766    2    0.296165    0.017275
41    16.685931    1    0.372459    0.019801
42    17.05839    0    0.52108    0.015959
43    17.57947    1    0.540068    0.020341
44    18.119538    0    0.238805    0.006981
45    18.358343    1    0.512682    0.018107
46    18.871025    0    0.256329    0.00727
47    19.127354    1    0.47836    0.015936
48    19.605714    0    0.285692    0.00785
49    19.891406    1    0.234176    0.007474
50    20.125582    2    1.411071    0.035646
51    21.536653    1    0.178832    0.007499
52    21.715485    0    0.266568    0.006214
53    21.982053    1    0.499964    0.014805
54    22.482017    0    0.228177    0.005197
55    22.710194    1    0.224697    0.006412
56    22.934891    2    2.103708    0.043422
57    25.038599    3    0.674909    0.02404
58    25.713508    4    0.403306    0.015001
59    26.116814    3    0.363405    0.013348
60    26.480219    4    0.604102    0.021346
61    27.084321    3    0.341858    0.011968
62    27.426179    4    0.908597    0.03003
63    28.334776    3    0.191952    0.006392
64    28.526728    2    0.360997    0.011335
65    28.887725    1    0.418842    0.012916
66    29.306567    0    0.325048    0.006035
67    29.631615    1    0.532754    0.01285
68    30.164369    0    0.238198    0.004325
69    30.402567    1    0.483828    0.011231
70    30.886395    0    0.236605    0.004218
71    31.123    1    0.414253    0.009299
72    31.537253    0    0.328114    0.005731
73    31.865367    1    0.170546    0.003736
74    32.035913    0    0.321037    0.005489
75    32.35695    1    0.245188    0.005272
76    32.602138    0    0.270881    0.004541
77    32.873019    1    0.314817    0.006624
78    33.187836    0    0.31141    0.005121
79    33.499246    1    0.262603    0.005402
80    33.761849    0    0.183949    0.002976
81    33.945798    1    0.561054    0.011232
82    34.506852    0    0.552554    0.008726
83    35.059406    1    0.422131    0.008145
84    35.481537    0    0.52605    0.008041
85    36.007587    1    0.251331    0.004722
86    36.258918    0    0.329615    0.004914
87    36.588533    1    0.199857    0.003691
88    36.78839    0    0.45852    0.006686
89    37.24691    1    0.479705    0.008642
90    37.726615    0    0.259841    0.00371
91    37.986456    1    0.235599    0.00415
92    38.222055    0    0.406094    0.005692
93    38.628149    1    0.312157    0.005392
94    38.940306    2    2.258374    0.029571
95    41.19868    1    0.381268    0.008458
96    41.579948    0    0.172862    0.00213
97    41.75281    1    0.205092    0.003371
98    41.957902    0    0.336362    0.004093
99    42.294264    1    0.28264    0.004572
100    42.576904    0    0.222695    0.002673
101    42.799599    1    0.224485    0.003578
102    43.024084    0    0.401938    0.004755
103    43.426022    1    0.189672    0.002979
104    43.615694    0    0.381268    0.004429
105    43.996962    1    0.552668    0.008497
106    44.54963    0    0.172166    0.001974
107    44.721796    1    0.373473    0.005613
108    45.095269    0    0.272964    0.003098
