l    time_i    C(l)    Tau_i     Delta_n
1    0.0    5    0.136161    1
2    0.136161    4    0.089623    1
3    0.225784    3    0.151939    0.40225
4    0.377723    2    0.20286    0.349407
5    0.580583    1    0.240973    0.293313
6    0.821556    2    0.231657    0.219953
7    1.053213    3    0.074831    0.051159
8    1.128044    4    0.081455    0.055235
9    1.209499    3    0.213596    0.131238
10    1.423095    4    0.062429    0.033629
11    1.485524    3    0.076702    0.037016
12    1.562226    4    0.068577    0.032718
13    1.630803    5    0.193347    0.07725
14    1.82415    6    0.096805    0.047919
15    1.920955    7    0.191009    0.084031
16    2.111964    8    0.122914    0.054998
17    2.234878    9    0.097462    0.041787
18    2.33234    10    0.161308    0.064688
19    2.493648    9    0.040712    0.016064
20    2.53436    10    0.049702    0.01801
21    2.584062    9    0.11269    0.041129
22    2.696752    10    0.139822    0.045436
23    2.836574    9    0.038554    0.012684
24    2.875128    10    0.123495    0.036159
25    2.998623    9    0.090038    0.027285
26    3.088661    10    0.037373    0.01012
27    3.126034    9    0.099895    0.028173
28    3.225929    8    0.271014    0.065207
29    3.496943    9    0.068695    0.018729
30    3.565638    10    0.080182    0.017165
31    3.64582    9    0.080626    0.01937
32    3.726446    10    0.10333    0.020733
33    3.829776    9    0.05879    0.013293
34    3.888566    10    0.054619    0.010409
35    3.943185    9    0.143837    0.030541
36    4.087022    10    0.051741    0.009379
37    4.138763    9    0.187036    0.036289
38    4.325799    10    0.141687    0.023851
39    4.467486    9    0.111365    0.019682
40    4.578851    8    0.591165    0.084021
41    5.170016    9    0.098927    0.018172
42    5.268943    10    0.102035    0.012487
43    5.370978    9    0.051256    0.007757
44    5.422234    10    0.069693    0.008226
45    5.491927    9    0.13775    0.019947
46    5.629677    10    0.063961    0.007289
47    5.693638    9    0.089961    0.012405
48    5.783599    10    0.036291    0.004035
49    5.81989    9    0.032055    0.004308
50    5.851945    10    0.145069    0.015603
51    5.997014    9    0.172675    0.02204
52    6.169689    10    0.066303    0.006802
53    6.235992    9    0.157706    0.018941
54    6.393698    10    0.188778    0.018412
55    6.582476    9    0.122696    0.013837
56    6.705172    10    0.064326    0.005991
57    6.769498    9    0.102643    0.011124
58    6.872141    8    0.613857    0.05167
59    7.485998    7    0.453029    0.055043
60    7.939027    8    0.079799    0.009798
61    8.018826    9    0.153376    0.017088
62    8.172202    10    0.126663    0.009369
63    8.298865    9    0.089998    0.008363
64    8.388863    10    0.177249    0.012596
65    8.566112    9    0.114067    0.010195
66    8.680179    8    0.544609    0.035507
67    9.224788    9    0.086128    0.008376
68    9.310916    8    0.451424    0.026355
69    9.76234    9    0.067982    0.006237
70    9.830322    10    0.090427    0.004984
71    9.920749    9    0.08548    0.006791
72    10.006229    10    0.083501    0.004516
73    10.08973    9    0.037003    0.002886
74    10.126733    10    0.116693    0.006183
75    10.243426    9    0.119625    0.009113
76    10.363051    8    0.259347    0.013233
77    10.622398    7    0.569272    0.045954
78    11.19167    8    0.030631    0.00268
79    11.222301    9    0.083573    0.006342
80    11.305874    10    0.080122    0.003921
81    11.385996    9    0.19763    0.01365
82    11.583626    8    0.465916    0.02169
83    12.049542    9    0.03283    0.002339
84    12.082372    10    0.195119    0.00859
85    12.277491    9    0.129208    0.008316
86    12.406699    10    0.049263    0.002123
87    12.455962    9    0.162103    0.010162
88    12.618065    10    0.051265    0.002188
89    12.66933    9    0.047071    0.002894
90    12.716401    10    0.175421    0.007351
91    12.891822    9    0.07421    0.004475
92    12.966032    10    0.100252    0.004108
93    13.066284    9    0.056623    0.003361
94    13.122907    10    0.086519    0.003494
95    13.209426    9    0.032907    0.001932
96    13.242333    10    0.02864    0.001146
97    13.270973    9    0.190616    0.010984
98    13.461589    10    0.106109    0.004197
99    13.567698    9    0.048859    0.002751
100    13.616557    10    0.165083    0.006397
101    13.78164    9    0.165284    0.009086
102    13.946924    10    0.092025    0.003495
103    14.038949    9    0.169369    0.009049
104    14.208318    10    0.054374    0.002041
105    14.262692    9    0.10372    0.005422
106    14.366412    10    0.178838    0.006599
107    14.54525    9    0.056977    0.002922
108    14.602227    10    0.055379    0.002009
109    14.657606    9    0.073802    0.003741
110    14.731408    8    0.660536    0.022843
111    15.391944    7    0.512764    0.028655
112    15.904708    8    0.030657    0.001896
113    15.935365    9    0.049487    0.002664
114    15.984852    10    0.106588    0.003495
115    16.09144    9    0.104031    0.004913
116    16.195471    8    0.43484    0.013786
117    16.630311    9    0.03613    0.001871
118    16.666441    10    0.164168    0.005018
119    16.830609    9    0.106811    0.004849
120    16.93742    10    0.110747    0.003329
121    17.048167    9    0.060153    0.002692
122    17.10832    10    0.079855    0.002373
123    17.188175    9    0.198069    0.008704
124    17.386244    10    0.062028    0.001828
125    17.448272    9    0.081686    0.003523
126    17.529958    10    0.087227    0.002548
127    17.617185    9    0.105971    0.004508
128    17.723156    8    0.411159    0.011676
129    18.134315    9    0.067606    0.003241
130    18.201921    10    0.167716    0.004613
131    18.369637    9    0.177697    0.007264
132    18.547334    10    0.119337    0.003231
133    18.666671    9    0.196221    0.007828
134    18.862892    10    0.036422    0.000978
135    18.899314    9    0.11423    0.004477
136    19.013544    8    0.227651    0.006025
137    19.241195    9    0.032488    0.001477
138    19.273683    10    0.066767    0.00174
139    19.34045    9    0.081581    0.00313
140    19.422031    10    0.172728    0.004446
141    19.594759    9    0.114221    0.004314
142    19.70898    10    0.136701    0.003463
143    19.845681    9    0.044965    0.001677
144    19.890646    8    0.338433    0.008374
145    20.229079    9    0.099193    0.004298
146    20.328272    8    0.632735    0.014932
147    20.961007    9    0.138866    0.005793
148    21.099873    10    0.172394    0.003916
149    21.272267    9    0.061368    0.002177
150    21.333635    10    0.09811    0.002201
151    21.431745    9    0.04099    0.001443
152    21.472735    10    0.036926    0.000823
153    21.509661    9    0.030842    0.001081
154    21.540503    10    0.194728    0.004295
155    21.735231    9    0.035364    0.001228
156    21.770595    10    0.038761    0.000846
157    21.809356    9    0.05011    0.001731
158    21.859466    10    0.036207    0.000787
159    21.895673    9    0.108479    0.003717
160    22.004152    10    0.043587    0.000945
161    22.047739    9    0.116087    0.003932
162    22.163826    10    0.114794    0.002473
163    22.27862    9    0.156044    0.005202
164    22.434664    10    0.10142    0.002166
165    22.536084    9    0.115734    0.003801
166    22.651818    8    0.739766    0.015231
167    23.391584    7    0.257233    0.009646
168    23.648817    8    0.139667    0.005806
169    23.788484    7    0.145596    0.00534
170    23.93408    6    0.173645    0.007081
171    24.107725    5    0.074582    0.003042
172    24.182307    4    0.260388    0.010571
173    24.442695    3    0.116539    0.004622
174    24.559234    2    0.076249    0.003043
175    24.635483    1    0.26755    0.010606
176    24.903033    0    0.06013    0.002387
177    24.963163    1    0.069758    0.002787
178    25.032921    0    0.265477    0.010372
179    25.298398    1    0.11112    0.004362
180    25.409518    0    0.279668    0.010648
181    25.689186    1    0.102067    0.00393
182    25.791253    2    0.745066    0.027166
183    26.536319    1    0.104939    0.003853
184    26.641258    0    0.245161    0.008576
185    26.886419    1    0.061974    0.002275
186    26.948393    0    0.128327    0.004418
187    27.07672    1    0.197965    0.007165
