i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	10336.0	[1434.30123]	0.38497		0.45069			[8.1944]	8.00162		7.58073
1	10240.0	[1375.43133]	0.40693		0.47688			[8.1944]	8.34553		7.98925
2	10696.0	[1463.71914]	0.39414		0.45488			[8.1944]	8.14526		7.71802
3	10070.0	[1358.62416]	0.417		0.49788			[8.1944]	8.5752		8.28523
4	10264.0	[1405.16707]	0.40378		0.47759			[8.1944]	8.32456		8.00436
5	10285.0	[1421.58666]	0.393		0.46117			[8.1944]	8.10804		7.72583
6	9884.0	[1348.09048]	0.42349		0.50819			[8.1944]	8.62744		8.34165
7	10014.0	[1372.12357]	0.40093		0.47164			[8.1944]	8.29305		7.96218
8	9708.0	[1317.69033]	0.41327		0.48963			[8.1944]	8.4627		8.1504
9	10425.0	[1428.17937]	0.39482		0.45574			[8.1944]	8.15085		7.76672
10	9478.0	[1272.74235]	0.42858		0.51233			[8.1944]	8.70483		8.44029
