i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	14132.0	[3652.96572]	0.43845		0.52355			[8.90255]	8.70723		8.30147
1	13510.0	[3460.44729]	0.4552		0.55622			[8.90255]	8.97999		8.68809
2	14028.0	[3572.43484]	0.44728		0.53586			[8.90255]	8.85402		8.51205
3	14492.0	[3746.27437]	0.43642		0.51998			[8.90255]	8.74844		8.3721
4	14236.0	[3657.3597]	0.44635		0.53527			[8.90255]	8.85692		8.51093
5	13333.0	[3400.54374]	0.45281		0.55186			[8.90255]	8.96916		8.68687
6	13872.0	[3576.56174]	0.45		0.54736			[8.90255]	8.94122		8.64878
7	13705.0	[3488.02052]	0.45285		0.54679			[8.90255]	8.95332		8.64992
8	13502.0	[3397.193]	0.45938		0.56135			[8.90255]	9.05785		8.8107
9	14257.0	[3595.74945]	0.45138		0.54268			[8.90255]	8.94152		8.6313
10	13854.0	[3594.67314]	0.44067		0.52744			[8.90255]	8.74812		8.36431
