l    time_i    C(l)    Tau_i     Delta_n
1    0.0    6    0.172928    1
2    0.172928    7    0.103299    1
3    0.276227    8    0.060398    0.067097
4    0.336625    7    0.233294    0.409346
5    0.569919    8    0.14174    0.117629
6    0.711659    9    0.066472    0.057421
7    0.778131    10    0.041088    0.050155
8    0.819219    9    0.103486    0.112155
9    0.922705    10    0.079186    0.075517
10    1.001891    9    0.080549    0.066728
11    1.08244    10    0.033242    0.026484
12    1.115682    9    0.142851    0.094783
13    1.258533    10    0.072831    0.048031
14    1.331364    9    0.036206    0.019975
15    1.36757    10    0.058725    0.034359
16    1.426295    9    0.032788    0.016751
17    1.459083    8    0.225842    0.107849
18    1.684925    9    0.082591    0.038413
19    1.767516    10    0.104685    0.039752
20    1.872201    9    0.057647    0.023555
21    1.929848    10    0.112174    0.03741
22    2.042022    9    0.055285    0.020506
23    2.097307    10    0.060487    0.018304
24    2.157794    9    0.044153    0.015323
25    2.201947    10    0.06676    0.018892
26    2.268707    9    0.097785    0.031249
27    2.366492    10    0.148431    0.037696
28    2.514923    9    0.042518    0.012324
29    2.557441    10    0.076912    0.017741
30    2.634353    9    0.080503    0.02185
31    2.714856    10    0.084622    0.018199
32    2.799478    9    0.146999    0.036101
33    2.946477    10    0.034094    0.006916
34    2.980571    9    0.068315    0.015485
35    3.048886    10    0.098319    0.018954
36    3.147205    9    0.130519    0.027306
37    3.277724    10    0.032263    0.005889
38    3.309987    9    0.029154    0.005778
39    3.339141    10    0.048544    0.008623
40    3.387685    9    0.127896    0.024044
41    3.515581    10    0.07139    0.0121
42    3.586971    9    0.054821    0.009696
43    3.641792    10    0.08242    0.013322
44    3.724212    9    0.089556    0.015087
45    3.813768    10    0.11901    0.018105
46    3.932778    9    0.046569    0.007474
47    3.979347    10    0.05642    0.00818
48    4.035767    9    0.051015    0.007944
49    4.086782    10    0.078936    0.011032
50    4.165718    9    0.049456    0.007455
51    4.215174    10    0.061306    0.00826
52    4.27648    9    0.04413    0.006469
53    4.32061    10    0.094935    0.012306
54    4.415545    9    0.120077    0.016808
55    4.535622    10    0.107796    0.013272
56    4.643418    9    0.09751    0.012895
57    4.740928    10    0.028012    0.003333
58    4.76894    9    0.142282    0.017855
59    4.911222    10    0.038361    0.004471
60    4.949583    9    0.043197    0.005204
61    4.99278    10    0.136192    0.015296
62    5.128972    9    0.140045    0.016136
63    5.269017    10    0.034646    0.003739
64    5.303663    9    0.030355    0.003378
65    5.334018    10    0.071499    0.007555
66    5.405517    9    0.086677    0.009401
67    5.492194    10    0.121639    0.012361
68    5.613833    9    0.089703    0.009361
69    5.703536    10    0.108997    0.010596
70    5.812533    9    0.055182    0.005583
71    5.867715    8    0.494869    0.04345
72    6.362584    9    0.145575    0.021023
73    6.508159    10    0.063895    0.005114
74    6.572054    9    0.13657    0.01287
75    6.708624    10    0.039823    0.003132
76    6.748447    9    0.073813    0.006725
77    6.82226    8    0.591278    0.042483
78    7.413538    7    0.103969    0.012845
79    7.517507    6    0.232436    0.028496
80    7.749943    5    0.074063    0.00934
81    7.824006    4    0.04916    0.006244
82    7.873166    3    0.044739    0.00565
83    7.917905    4    0.06106    0.007653
84    7.978965    3    0.048504    0.006008
85    8.027469    2    0.109981    0.013413
86    8.13745    1    0.065844    0.008027
87    8.203294    0    0.083018    0.010019
88    8.286312    1    0.224846    0.026418
89    8.511158    2    0.416772    0.046227
90    8.92793    1    0.094468    0.010393
91    9.022398    0    0.083239    0.008635
92    9.105637    1    0.083083    0.008819
93    9.18872    0    0.041618    0.004222
94    9.230338    1    0.132504    0.01368
95    9.362842    2    0.568717    0.053443
96    9.931559    1    0.205377    0.019933
97    10.136936    0    0.053789    0.004657
98    10.190725    1    0.053985    0.005042
99    10.24471    2    0.402754    0.033222
100    10.647464    1    0.065103    0.005869
101    10.712567    2    0.274213    0.021114
102    10.98678    1    0.112299    0.009721
103    11.099079    0    0.22121    0.016153
104    11.320289    1    0.114541    0.00958
105    11.43483    0    0.0933    0.006574
106    11.52813    1    0.089084    0.007263
107    11.617214    0    0.222324    0.01516
108    11.839538    1    0.047003    0.003721
109    11.886541    2    0.505632    0.032355
110    12.392173    1    0.058757    0.004513
111    12.45093    0    0.151058    0.009131
112    12.601988    1    0.062556    0.004648
113    12.664544    0    0.20741    0.012147
114    12.871954    1    0.068058    0.00493
115    12.940012    0    0.10758    0.006127
116    13.047592    1    0.085008    0.006038
117    13.1326    0    0.092788    0.005182
118    13.225388    1    0.233033    0.016057
119    13.458421    0    0.144358    0.007833
120    13.602779    1    0.169054    0.011198
121    13.771833    0    0.090309    0.004779
122    13.862142    1    0.086886    0.005616
123    13.949028    0    0.056086    0.002925
124    14.005114    1    0.171893    0.01087
125    14.177007    0    0.067481    0.003462
126    14.244488    1    0.094682    0.005851
127    14.33917    2    0.193329    0.009701
128    14.532499    1    0.150605    0.009832
129    14.683104    2    0.275011    0.01328
130    14.958115    3    0.287066    0.017883
131    15.245181    4    0.264473    0.016861
132    15.509654    5    0.12806    0.00814
133    15.637714    6    0.093717    0.005938
134    15.731431    5    0.190762    0.011846
135    15.922193    4    0.105772    0.00654
136    16.027965    5    0.199722    0.012138
137    16.227687    4    0.090098    0.005436
138    16.317785    5    0.064786    0.003852
139    16.382571    4    0.118413    0.007028
140    16.500984    5    0.045022    0.002641
141    16.546006    4    0.051623    0.003024
142    16.597629    3    0.105539    0.006117
143    16.703168    4    0.155194    0.008965
144    16.858362    5    0.200062    0.011285
145    17.058424    6    0.038039    0.002159
146    17.096463    5    0.08486    0.004833
147    17.181323    4    0.077893    0.004369
148    17.259216    5    0.106611    0.005842
149    17.365827    4    0.139886    0.007703
150    17.505713    5    0.083377    0.004485
151    17.58909    6    0.149946    0.008086
152    17.739036    5    0.109579    0.005983
153    17.848615    6    0.055332    0.002932
154    17.903947    7    0.12981    0.006972
155    18.033757    8    0.112237    0.005977
156    18.145994    9    0.029069    0.001544
157    18.175063    10    0.05206    0.002262
158    18.227123    9    0.037029    0.001736
159    18.264152    8    0.6045    0.025316
160    18.868652    9    0.138923    0.007053
161    19.007575    10    0.050865    0.002046
162    19.05844    9    0.042963    0.001935
163    19.101403    10    0.109185    0.004349
164    19.210588    9    0.053193    0.002372
165    19.263781    10    0.032668    0.001289
166    19.296449    9    0.09021    0.003987
167    19.386659    10    0.091034    0.003557
168    19.477693    9    0.039533    0.001729
169    19.517226    10    0.033513    0.001299
170    19.550739    9    0.035596    0.001549
171    19.586335    10    0.053178    0.002051
172    19.639513    9    0.05968    0.002578
173    19.699193    8    0.203949    0.007747
174    19.903142    9    0.097202    0.004665
175    20.000344    10    0.08192    0.003057
176    20.082264    9    0.119287    0.005027
177    20.201551    10    0.042091    0.001555
178    20.243642    9    0.049579    0.002068
179    20.293221    10    0.103567    0.003793
180    20.396788    9    0.048796    0.002017
181    20.445584    10    0.057075    0.002071
182    20.502659    9    0.068772    0.002821
183    20.571431    10    0.096875    0.003481
184    20.668306    9    0.041739    0.001696
185    20.710045    10    0.146203    0.005185
186    20.856248    9    0.028226    0.001136
187    20.884474    8    0.502772    0.017274
188    21.387246    7    0.45725    0.020054
189    21.844496    6    0.188839    0.008289
190    22.033335    5    0.224424    0.009766
191    22.257759    6    0.091975    0.003936
192    22.349734    7    0.11006    0.0047
193    22.459794    8    0.053255    0.002269
194    22.513049    9    0.122241    0.005076
195    22.63529    8    0.287933    0.009208
196    22.923223    7    0.234979    0.009494
197    23.158202    8    0.092055    0.003795
198    23.250257    7    0.163074    0.006452
199    23.413331    8    0.075431    0.003067
200    23.488762    9    0.073643    0.002876
201    23.562405    8    0.504412    0.015329
202    24.066817    9    0.046122    0.001758
203    24.112939    10    0.09877    0.002923
204    24.211709    9    0.041175    0.001464
205    24.252884    10    0.083015    0.002436
206    24.335899    9    0.117426    0.004134
207    24.453325    8    0.515953    0.014735
208    24.969278    7    0.103092    0.003784
209    25.07237    8    0.069552    0.002642
210    25.141922    9    0.103759    0.003767
211    25.245681    10    0.043149    0.001197
212    25.28883    9    0.057816    0.001966
213    25.346646    10    0.087755    0.002419
214    25.434401    9    0.055603    0.001876
215    25.490004    10    0.042976    0.001177
216    25.53298    9    0.050842    0.001706
217    25.583822    10    0.036646    0.000999
218    25.620468    9    0.055295    0.001845
219    25.675763    10    0.092987    0.00252
220    25.76875    9    0.080285    0.002658
221    25.849035    10    0.043028    0.001158
222    25.892063    9    0.04078    0.001342
223    25.932843    8    0.777116    0.020257
224    26.709959    9    0.062588    0.002145
225    26.772547    10    0.054312    0.00137
226    26.826859    9    0.070718    0.002252
227    26.897577    10    0.040425    0.001015
228    26.938002    9    0.146262    0.004616
229    27.084264    10    0.057468    0.001433
230    27.141732    9    0.101178    0.003158
231    27.24291    10    0.064458    0.001597
232    27.307368    9    0.055587    0.001722
233    27.362955    8    0.377952    0.009207
234    27.740907    9    0.050741    0.001676
235    27.791648    10    0.037914    0.000909
236    27.829562    9    0.059454    0.001809
237    27.889016    10    0.04794    0.001145
238    27.936956    9    0.097765    0.002954
239    28.034721    10    0.075174    0.001784
240    28.109895    9    0.049524    0.001485
241    28.159419    8    0.426456    0.009933
242    28.585875    9    0.125622    0.004022
243    28.711497    8    0.312232    0.007072
244    29.023729    9    0.0907    0.002854
245    29.114429    10    0.051586    0.001153
246    29.166015    9    0.085886    0.002491
247    29.251901    10    0.053233    0.001183
248    29.305134    9    0.07951    0.00229
249    29.384644    10    0.093775    0.002071
250    29.478419    9    0.051087    0.001461
251    29.529506    10    0.059361    0.001303
252    29.588867    9    0.046846    0.001333
253    29.635713    8    0.598975    0.012854
254    30.234688    9    0.102299    0.00309
255    30.336987    8    0.638657    0.013138
256    30.975644    9    0.090634    0.002669
257    31.066278    10    0.135642    0.002718
258    31.20192    9    0.056184    0.001528
259    31.258104    10    0.05162    0.001027
260    31.309724    9    0.141236    0.00381
261    31.45096    10    0.105581    0.002087
262    31.556541    9    0.04607    0.001232
263    31.602611    10    0.083912    0.001648
264    31.686523    9    0.067225    0.001788
265    31.753748    10    0.070735    0.001381
266    31.824483    9    0.028194    0.000746
267    31.852677    10    0.101315    0.001967
268    31.953992    9    0.070856    0.001865
269    32.024848    10    0.061431    0.001185
270    32.086279    9    0.126021    0.003291
271    32.2123    10    0.035716    0.000686
272    32.248016    9    0.068046    0.001764
273    32.316062    10    0.120198    0.002296
274    32.43626    9    0.049593    0.001278
275    32.485853    10    0.113916    0.002159
276    32.599769    9    0.064777    0.001659
277    32.664546    10    0.117515    0.002211
278    32.782061    9    0.063307    0.001609
279    32.845368    10    0.039224    0.000734
280    32.884592    9    0.043146    0.001092
281    32.927738    10    0.042992    0.000801
282    32.97073    9    0.122679    0.003088
283    33.093409    8    0.24125    0.004454
284    33.334659    9    0.032762    0.000902
285    33.367421    10    0.10164    0.001857
286    33.469061    9    0.110346    0.002733
287    33.579407    10    0.087848    0.001594
288    33.667255    9    0.113824    0.002795
289    33.781079    10    0.046079    0.000832
290    33.827158    9    0.101313    0.002469
291    33.928471    8    0.238642    0.004267
292    34.167113    9    0.13228    0.003545
293    34.299393    10    0.127025    0.002244
294    34.426418    9    0.100784    0.002414
295    34.527202    8    0.194169    0.003395
296    34.721371    7    0.192866    0.005064
297    34.914237    6    0.301431    0.008265
298    35.215668    7    0.107267    0.002948
299    35.322935    8    0.110816    0.002994
300    35.433751    9    0.050725    0.001305
301    35.484476    10    0.088414    0.001521
302    35.57289    9    0.149451    0.003471
303    35.722341    10    0.058046    0.000993
304    35.780387    9    0.042144    0.000973
305    35.822531    10    0.080132    0.001365
306    35.902663    9    0.144656    0.003315
307    36.047319    10    0.066696    0.00113
308    36.114015    9    0.059013    0.001343
