i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	11742.0	[1324.83375]	0.41038		0.48753			[8.1944]	8.42151		8.09553
1	12046.0	[1332.44367]	0.42		0.49505			[8.1944]	8.6053		8.30225
2	12074.0	[1359.98244]	0.40978		0.48116			[8.1944]	8.38669		8.05843
3	11730.0	[1322.51815]	0.42		0.49943			[8.1944]	8.60154		8.31482
4	12082.0	[1376.31791]	0.3955		0.46692			[8.1944]	8.18477		7.83241
5	11875.0	[1356.44527]	0.41325		0.49527			[8.1944]	8.43286		8.11618
6	11772.0	[1328.20901]	0.41712		0.49705			[8.1944]	8.50385		8.20401
7	11759.0	[1346.4246]	0.40725		0.48335			[8.1944]	8.35109		8.01655
8	12416.0	[1432.28869]	0.39503		0.46484			[8.1944]	8.25298		7.90866
9	11697.0	[1290.46752]	0.43431		0.52004			[8.1944]	8.74236		8.50161
10	12612.0	[1416.72009]	0.40425		0.47285			[8.1944]	8.29362		7.93898
