l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.419133    1
2    0.419133    10    0.424944    1
3    0.844077    9    0.450747    0.175255
4    1.294824    10    0.26619    0.11456
5    1.561014    9    0.397065    0.089782
6    1.958079    10    0.462024    0.123526
7    2.420103    9    0.502066    0.081867
8    2.922169    10    0.278222    0.052628
9    3.200391    9    0.446655    0.054775
10    3.647046    10    0.460205    0.068071
11    4.107251    9    0.297437    0.0311
12    4.404688    10    0.425851    0.050299
13    4.830539    9    0.246634    0.023305
14    5.077173    10    0.265267    0.026989
15    5.34244    9    0.214662    0.018674
16    5.557102    10    0.518145    0.04565
17    6.075247    9    0.373443    0.029558
18    6.44869    10    0.194598    0.015207
19    6.643288    9    0.299789    0.021418
20    6.943077    10    0.360615    0.025939
21    7.303692    9    0.363623    0.02374
22    7.667315    10    0.285111    0.018757
23    7.952426    9    0.3839    0.022823
24    8.336326    10    0.479166    0.028657
25    8.815492    9    0.27157    0.014985
26    9.087062    10    0.330625    0.018029
27    9.417687    9    0.397879    0.020449
28    9.815566    10    0.381824    0.01932
29    10.19739    9    0.254929    0.012276
30    10.452319    10    0.277814    0.013177
31    10.730133    9    0.469689    0.021147
32    11.199822    8    2.366782    0.090177
33    13.566604    9    0.268554    0.019411
34    13.835158    10    0.230178    0.007166
35    14.065336    9    0.493893    0.01996
36    14.559229    10    0.237681    0.007228
37    14.79691    9    0.33087    0.012585
38    15.12778    10    0.240079    0.007107
39    15.367859    9    0.536163    0.019203
40    15.904022    10    0.229143    0.006625
41    16.133165    9    0.329576    0.011147
42    16.462741    8    2.293463    0.05755
43    18.756204    9    0.300604    0.015548
44    19.056808    10    0.19187    0.00421
45    19.248678    9    0.373548    0.011639
46    19.622226    10    0.278217    0.006001
47    19.900443    9    0.379108    0.011317
48    20.279551    10    0.240283    0.005082
49    20.519834    9    0.240821    0.006946
50    20.760655    10    0.19257    0.004003
51    20.953225    9    0.339936    0.009509
52    21.293161    10    0.325651    0.006638
53    21.618812    9    0.365577    0.009849
54    21.984389    10    0.207564    0.004147
55    22.191953    9    0.219726    0.00575
56    22.411679    10    0.291582    0.005712
57    22.703261    9    0.442483    0.011203
58    23.145744    10    0.317539    0.006087
59    23.463283    9    0.519711    0.012581
60    23.982994    10    0.317414    0.005953
61    24.300408    9    0.512525    0.011849
62    24.812933    10    0.32344    0.005933
63    25.136373    9    0.317606    0.00708
64    25.453979    8    2.291788    0.038161
65    27.745767    9    0.190636    0.006684
66    27.936403    10    0.262057    0.003975
67    28.19846    9    0.406614    0.008574
68    28.605074    10    0.203992    0.003059
69    28.809066    9    0.202432    0.004169
70    29.011498    10    0.347378    0.005122
71    29.358876    9    0.493076    0.009879
72    29.851952    10    0.379753    0.005492
73    30.231705    9    0.288704    0.005613
74    30.520409    10    0.309944    0.004395
75    30.830353    9    0.230541    0.004393
76    31.060894    10    0.248168    0.003464
77    31.309062    9    0.196435    0.003683
78    31.505497    10    0.307187    0.00422
79    31.812684    9    0.260824    0.004807
80    32.073508    10    0.401603    0.005409
81    32.475111    9    0.225869    0.004085
82    32.70098    10    0.320324    0.004228
83    33.021304    9    0.317036    0.005624
84    33.33834    10    0.462563    0.005982
85    33.800903    9    0.297367    0.005157
86    34.09827    10    0.330683    0.004189
87    34.428953    9    0.50047    0.008456
88    34.929423    10    0.25209    0.003153
89    35.181513    9    0.36448    0.005995
90    35.545993    8    2.526786    0.029377
91    38.072779    9    0.22433    0.005741
92    38.297109    8    1.390449    0.0146
93    39.687558    7    1.144959    0.027345
94    40.832517    8    0.267902    0.006518
95    41.100419    9    0.289406    0.00663
96    41.389825    10    0.523947    0.005334
97    41.913772    9    0.191364    0.002921
98    42.105136    10    0.267772    0.002679
99    42.372908    9    0.475246    0.007121
100    42.848154    10    0.30296    0.003003
101    43.151114    9    0.294848    0.004326
102    43.445962    10    0.309403    0.003031
103    43.755365    9    0.483338    0.006947
104    44.238703    10    0.517861    0.004997
105    44.756564    9    0.337759    0.004743
106    45.094323    10    0.329825    0.00313
107    45.424148    9    0.375876    0.00518
108    45.800024    10    0.374135    0.003507
109    46.174159    9    0.309953    0.004193
110    46.484112    10    0.282951    0.00262
111    46.767063    9    0.270889    0.003611
112    47.037952    10    0.29664    0.002718
113    47.334592    9    0.275093    0.003616
114    47.609685    10    0.213104    0.001935
115    47.822789    9    0.222685    0.002892
116    48.045474    10    0.393045    0.003529
117    48.438519    9    0.20585    0.002641
118    48.644369    10    0.387832    0.003432
119    49.032201    9    0.480722    0.006062
120    49.512923    10    0.254602    0.00223
121    49.767525    9    0.429814    0.005311
122    50.197339    10    0.514709    0.004451
123    50.712048    9    0.466435    0.005641
124    51.178483    10    0.316889    0.002703
125    51.495372    9    0.350101    0.004158
126    51.845473    10    0.355717    0.003001
127    52.20119    9    0.195584    0.002292
128    52.396774    10    0.471772    0.003921
129    52.868546    9    0.526918    0.006072
130    53.395464    8    1.111552    0.008996
131    54.507016    9    0.402905    0.007012
132    54.909921    10    0.210221    0.001664
133    55.120142    9    0.439637    0.004917
134    55.559779    10    0.401782    0.003153
135    55.961561    9    0.400679    0.004402
136    56.36224    10    0.406393    0.003149
137    56.768633    9    0.260829    0.002824
138    57.029462    10    0.189375    0.001455
139    57.218837    9    0.417175    0.004459
140    57.636012    10    0.270142    0.002062
141    57.906154    9    0.293166    0.00309
142    58.19932    10    0.220537    0.001671
143    58.419857    9    0.537542    0.005578
144    58.957399    10    0.397566    0.002989
145    59.354965    9    0.429137    0.004371
146    59.784102    10    0.290896    0.002165
147    60.074998    9    0.274667    0.002759
148    60.349665    10    0.191335    0.001414
149    60.541    9    0.340291    0.003381
150    60.881291    10    0.527188    0.003857
151    61.408479    9    0.295513    0.002897
152    61.703992    8    1.951738    0.013736
153    63.65573    9    0.348789    0.005208
154    64.004519    10    0.361512    0.002456
155    64.366031    9    0.404109    0.003859
156    64.77014    8    1.541405    0.010191
157    66.311545    9    0.281799    0.00403
158    66.593344    8    1.119186    0.007118
159    67.71253    7    1.010886    0.01396
160    68.723416    8    0.318624    0.004597
161    69.04204    9    0.444552    0.005984
162    69.486592    10    0.195192    0.001227
163    69.681784    9    0.319005    0.002925
164    70.000789    10    0.342196    0.002138
165    70.342985    9    0.27462    0.002492
166    70.617605    10    0.495473    0.003063
167    71.113078    9    0.368821    0.003305
168    71.481899    10    0.337313    0.002064
169    71.819212    9    0.273468    0.002424
170    72.09268    10    0.269375    0.001637
171    72.362055    9    0.206671    0.001817
172    72.568726    8    1.413382    0.008397
173    73.982108    9    0.467929    0.005868
174    74.450037    10    0.246137    0.001433
175    74.696174    9    0.318791    0.002748
176    75.014965    8    1.093351    0.006259
177    76.108316    9    0.534273    0.006478
178    76.642589    10    0.363641    0.002047
179    77.00623    9    0.433499    0.003655
180    77.439729    10    0.312184    0.001745
181    77.751913    9    0.254941    0.002127
182    78.006854    8    2.188157    0.011859
183    80.195011    7    0.833162    0.009524
184    81.028173    8    0.383295    0.004674
185    81.411468    9    0.503079    0.005632
186    81.914547    10    0.418691    0.002211
187    82.333238    9    0.229963    0.001858
188    82.563201    10    0.297594    0.00156
189    82.860795    9    0.394643    0.003159
190    83.255438    10    0.351267    0.001829
191    83.606705    9    0.241922    0.001918
192    83.848627    10    0.350653    0.001812
193    84.19928    9    0.527547    0.004136
194    84.726827    10    0.378125    0.001942
195    85.104952    9    0.309623    0.002399
196    85.414575    10    0.333589    0.0017
197    85.748164    9    0.245207    0.001883
198    85.993371    10    0.431416    0.002181
199    86.424787    9    0.19573    0.001492
200    86.620517    10    0.314615    0.001579
201    86.935132    9    0.304178    0.002301
202    87.23931    10    0.334286    0.001666
203    87.573596    9    0.442936    0.003316
204    88.016532    10    0.209208    0.001038
205    88.22574    9    0.241105    0.001789
206    88.466845    10    0.298942    0.001476
207    88.765787    9    0.195345    0.00144
208    88.961132    10    0.476997    0.002335
209    89.438129    9    0.315884    0.00231
210    89.754013    10    0.324493    0.001576
211    90.078506    9    0.330094    0.002392
212    90.4086    10    0.450476    0.002172
213    90.859076    9    0.241732    0.001737
214    91.100808    8    1.73904    0.008192
215    92.839848    9    0.218772    0.002167
216    93.05862    10    0.34264    0.001579
217    93.40126    9    0.381476    0.00269
218    93.782736    8    2.745964    0.012267
219    96.5287    9    0.369063    0.003514
220    96.897763    10    0.436498    0.001889
221    97.334261    9    0.191817    0.00132
222    97.526078    10    0.323021    0.001388
223    97.849099    9    0.331668    0.002267
224    98.180767    10    0.303365    0.001296
225    98.484132    9    0.239064    0.001622
226    98.723196    8    2.908201    0.01205
227    101.631397    9    0.278706    0.002524
228    101.910103    10    0.447105    0.001794
229    102.357208    9    0.272021    0.001802
230    102.629229    10    0.521787    0.002077
231    103.151016    9    0.197326    0.001297
232    103.348342    10    0.301203    0.00119
233    103.649545    9    0.19273    0.001261
234    103.842275    8    1.90166    0.007362
235    105.743935    7    0.608104    0.00528
236    106.352039    8    0.251275    0.002336
237    106.603314    9    0.308019    0.002646
238    106.911333    10    0.22749    0.000868
239    107.138823    9    0.376988    0.002412
240    107.515811    10    0.409579    0.001555
241    107.92539    9    0.456806    0.002895
242    108.382196    10    0.530254    0.002
243    108.91245    9    0.524427    0.003284
244    109.436877    10    0.416511    0.001561
245    109.853388    9    0.500865    0.003101
246    110.354253    10    0.444084    0.001654
247    110.798337    9    0.260762    0.0016
248    111.059099    10    0.229703    0.000851
249    111.288802    9    0.497303    0.003027
250    111.786105    10    0.35189    0.0013
251    112.137995    9    0.191433    0.001157
