i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	18910.0	[9343.75962]	0.40065		0.47124			[8.1944]	8.28416		7.92466
1	19594.0	[9750.09958]	0.3851		0.44764			[8.1944]	8.01637		7.59911
2	19032.0	[9448.83381]	0.39265		0.45884			[8.1944]	8.15307		7.766
3	18721.0	[9074.68343]	0.42029		0.49871			[8.1944]	8.59269		8.29406
4	19130.0	[9428.60179]	0.4046		0.47719			[8.1944]	8.323		7.96571
5	18957.0	[9267.59947]	0.39891		0.46695			[8.1944]	8.23814		7.87722
6	19034.0	[9308.24672]	0.40278		0.47154			[8.1944]	8.2873		7.92416
7	18586.0	[9125.27433]	0.40376		0.47463			[8.1944]	8.32305		7.97264
8	18534.0	[8986.81607]	0.42001		0.49868			[8.1944]	8.60238		8.31263
9	18989.0	[9365.08088]	0.40203		0.47195			[8.1944]	8.27844		7.90194
10	18320.0	[8805.4871]	0.42624		0.50533			[8.1944]	8.67186		8.38707
